Date;Description;Category;Out;In
2021-11-02;Salary Mario;Income;0;4896.44
2021-11-03;supermarket;food and beverages;132.40;0
2021-11-04;Salary Laura;Income;0;4910.14
2021-11-04;GreenEnergy Corp., (electricity);utility;87.34;0
2021-11-09;water and sewage;utility;60.56;0
2021-11-10;Fitness studio, Laura;health and sports;19.00;0
2021-11-11;payment to bank;monthly redemption payment;1287.43;0
2021-11-12;LeChef Restaurant;restaurants and hotels;145.00;0
2021-11-13;supermarket;food and beverages;197.42;0
2021-11-13;Pizzeria da Pulcinella;restaurants and hotels;60.00;0
2021-11-26;supermarket;food and beverages;155.42;0
2021-11-27;theatre tickets;education and culture;125;0
2021-12-02;Salary Mario;Income;0;4896.44
2021-12-03;supermarket;food and beverages;147.90;0
2021-12-05;Salary Laura;Income;0;4910.14
2021-12-08;Golf Club, yearly payment;health and sports;612.18;0
2021-12-09;house insurance;insurances and taxes;167.89;0
2021-12-10;Fitness studio, Laura;health and sports;19.00;0
2021-12-10;supermarket;food and beverages;144.12;0
2021-12-11;payment to bank;monthly redemption payment;1287.43;0
2021-12-18;supermarket;food and beverages;211.24;0
2021-12-19;Italian delivery;restaurants and hotels;33.00;0
2021-12-23;Cinema;education and culture;19;0
2021-12-25;supermarket;food and beverages;86.01;0
2022-01-02;Salary Mario;Income;0;4896.44
2022-01-03;supermarket;food and beverages;102.30;0
2022-01-04;Salary Laura;Income;0;4910.14
2022-01-09;water and sewage;utility;60.56;0
2022-01-10;Fitness studio, Laura;health and sports;19.00;0
2022-01-11;payment to bank;monthly redemption payment;1287.43;0
2022-01-12;Coffee shop;restaurants and hotels;145.00;0
2022-01-13;supermarket;food and beverages;197.42;0
2022-01-13;Sushi eating out;restaurants and hotels;60.00;0
2022-01-16;supermarket;food and beverages;205.71;0
2022-01-18;books from books store;education and culture;125;0